dest_node,source_node,weight,source_class,dest_class,edge_class
4601,1435,1,0,1,0-1
4601,1950,1,0,1,0-1
4601,2457,1,0,1,0-1
4601,2458,1,0,1,0-1
4601,2459,1,0,1,0-1
4602,162,1,0,1,0-1
4602,1525,1,0,1,0-1
4602,2351,1,0,1,0-1
4603,1544,1,0,1,0-1
4603,2463,1,0,1,0-1
4604,832,1,0,1,0-1
4604,2464,1,0,1,0-1
4605,2113,1,0,1,0-1
4605,2465,1,0,1,0-1
4606,1684,1,0,1,0-1
4606,2466,1,0,1,0-1
4607,2467,1,0,1,0-1
4607,2468,1,0,1,0-1
4608,1315,1,0,1,0-1
4608,1316,1,0,1,0-1
4609,946,1,0,1,0-1
4610,200,1,0,1,0-1
4610,423,1,0,1,0-1
4611,68,1,0,1,0-1
4611,2462,1,0,1,0-1
4611,2470,1,0,1,0-1
4611,2471,1,0,1,0-1
4612,2164,1,0,1,0-1
4612,2472,1,0,1,0-1
4613,309,1,0,1,0-1
4613,322,1,0,1,0-1
4613,1242,1,0,1,0-1
4614,278,1,0,1,0-1
4614,369,1,0,1,0-1
4615,322,1,0,1,0-1
4615,1242,1,0,1,0-1
4615,2094,1,0,1,0-1
4616,762,1,0,1,0-1
4616,1603,1,0,1,0-1
4616,1807,1,0,1,0-1
4617,793,1,0,1,0-1
4617,1022,1,0,1,0-1
4617,1042,1,0,1,0-1
4618,442,1,0,1,0-1
4618,2339,1,0,1,0-1
4619,162,1,0,1,0-1
4619,2441,1,0,1,0-1
4619,2473,1,0,1,0-1
4619,2474,1,0,1,0-1
4620,1132,1,0,1,0-1
4620,2476,1,0,1,0-1
4621,245,1,0,1,0-1
4621,2478,1,0,1,0-1
4622,1246,1,0,1,0-1
4622,1625,1,0,1,0-1
4622,1626,1,0,1,0-1
4622,1790,1,0,1,0-1
4622,2185,1,0,1,0-1
4622,2479,1,0,1,0-1
4623,245,1,0,1,0-1
4623,1986,1,0,1,0-1
4624,2146,1,0,1,0-1
4624,2480,1,0,1,0-1
4625,2460,1,0,1,0-1
4625,2481,1,0,1,0-1
4625,2482,1,0,1,0-1
4626,1293,1,0,1,0-1
4626,1334,1,0,1,0-1
4626,2483,1,0,1,0-1
4627,1413,1,0,1,0-1
4627,2485,1,0,1,0-1
4628,1466,1,0,1,0-1
4628,1467,1,0,1,0-1
4628,2486,1,0,1,0-1
4629,2487,1,0,1,0-1
4629,2488,1,0,1,0-1
4630,169,1,0,1,0-1
4630,2487,1,0,1,0-1
4630,2488,1,0,1,0-1
4630,2489,1,0,1,0-1
4631,1102,1,0,1,0-1
4631,1898,1,0,1,0-1
4632,2076,1,0,1,0-1
4632,2085,1,0,1,0-1
4632,2490,1,0,1,0-1
4632,2491,1,0,1,0-1
4633,1728,1,0,1,0-1
4633,1800,1,0,1,0-1
4633,2492,1,0,1,0-1
4633,2493,1,0,1,0-1
4633,2494,1,0,1,0-1
4634,1243,1,0,1,0-1
4634,2066,1,0,1,0-1
4634,2097,1,0,1,0-1
4635,1876,1,0,1,0-1
4635,1956,1,0,1,0-1
4635,2495,1,0,1,0-1
4636,2309,1,0,1,0-1
4636,2424,1,0,1,0-1
4636,2496,1,0,1,0-1
4636,2497,1,0,1,0-1
4636,2498,1,0,1,0-1
4637,399,1,0,1,0-1
4637,1121,1,0,1,0-1
4637,1138,1,0,1,0-1
4638,388,1,0,1,0-1
4638,389,1,0,1,0-1
4638,836,1,0,1,0-1
4639,1286,1,0,1,0-1
4639,1287,1,0,1,0-1
4639,1352,1,0,1,0-1
4639,2499,1,0,1,0-1
4640,1760,1,0,1,0-1
4640,1761,1,0,1,0-1
4640,1762,1,0,1,0-1
4640,2500,1,0,1,0-1
4641,499,1,0,1,0-1
4641,2234,1,0,1,0-1
4641,2424,1,0,1,0-1
4641,2501,1,0,1,0-1
4641,2502,1,0,1,0-1
4642,1266,1,0,1,0-1
4642,1395,1,0,1,0-1
4643,613,1,0,1,0-1
4643,2467,1,0,1,0-1
4643,2504,1,0,1,0-1
4644,1874,1,0,1,0-1
4644,2505,1,0,1,0-1
4645,2239,1,0,1,0-1
4645,2506,1,0,1,0-1
4646,411,1,0,1,0-1
4646,489,1,0,1,0-1
4647,398,1,0,1,0-1
4647,2507,1,0,1,0-1
4648,1165,1,0,1,0-1
4648,2508,1,0,1,0-1
4649,1260,1,0,1,0-1
4649,1704,1,0,1,0-1
4650,1143,1,0,1,0-1
4650,1168,1,0,1,0-1
4650,1266,1,0,1,0-1
4650,1395,1,0,1,0-1
4650,2509,1,0,1,0-1
4651,2158,1,0,1,0-1
4651,2510,1,0,1,0-1
4651,2511,1,0,1,0-1
4651,2512,1,0,1,0-1
4651,2513,1,0,1,0-1
4651,2514,1,0,1,0-1
4652,294,1,0,1,0-1
4652,2515,1,0,1,0-1
4652,2516,1,0,1,0-1
4653,66,1,0,1,0-1
